libyaml 0.2.5-3.1
libyuv r2426+464c51a03-1.1
libzip 1.11.4-1.2
libzmf 0.0.2-20.1
licenses 20240728-1
lilv 0.28.0-1
limine 12.5.2-1
limine-mkinitcpio-hook 1.37.1-1
limine-snapper-sync 1.31.0-1
linux-api-headers 1:7.1-1
linux-cachyos 7.1.6-1
linux-cachyos-headers 7.1.6-1
linux-cachyos-lts 6.18.42-1
linux-cachyos-lts-headers 6.18.42-1
linux-cachyos-lts-nvidia-open 6.18.42-1
linux-cachyos-nvidia-open 7.1.6-1
linux-firmware 1:20260622-1
linux-firmware-amdgpu 1:20260622-1
linux-firmware-atheros 1:20260622-1
linux-firmware-broadcom 1:20260622-1
linux-firmware-cirrus 1:20260622-1
linux-firmware-intel 1:20260622-1
linux-firmware-mediatek 1:20260622-1
linux-firmware-nvidia 1:20260622-1
linux-firmware-other 1:20260622-1
linux-firmware-radeon 1:20260622-1
linux-firmware-realtek 1:20260622-1
linux-firmware-whence 1:20260622-1
lirc 1:0.10.2-6.1
live-media 2025.05.24-1.2
lld 22.1.8-1.1
llhttp 9.3.1-1.1
llvm 22.1.8-2
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1.1
lmdb 0.9.35-1.1
logrotate 3.22.0-1.1
lpsolve 5.5.2.14-1.1
lsb-release 2.0.r55.a25a4fc-1
lsd 1.2.0-2.1
lsof 4.99.7-1.1
lsscsi 0.32-2.2
lua 5.5.1-1.1
lua51 5.1.5-13.1
lua54 5.4.8-6.1
luajit 2.1.1785763465+1edc3e5-1.1
lutris 0.5.22-2
lv2 1.18.10-2.1
lvm2 2.03.41-1.1
lz4 1:1.10.0-3
lzo 2.10-5.1
m4 1.4.21-2.1
mailcap 2.1.54-2
make 4.4.1-3.1
man-db 2.13.1-2.1
man-pages 6.18-1
mangohud 0.8.4-1.1
md4c 0.5.3-1.1
mdadm 4.6-2
media-player-info 26-1
meld 3.24.0-1
mesa 3:26.1.6-1
mesa-utils 9.0.0-7.1
micro 2.0.15-3.1
minizip 1:1.3.2-3.1
mjpegtools 2.2.1-4.1
mkinitcpio 41-5
mkinitcpio-busybox 1.36.1-1.1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1.1
mpdecimal 4.0.1-3.1
mpfr 4.2.2-1.1
mpg123 1.33.5-1.1
mtdev 1.1.7-1.1
mtools 1:4.0.49-1.1
muparser 2.3.5-2.1
nano 9.1-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncurses 6.6-2.1
neon 0.37.1-1
netctl 1.29-2
nettle 4.0-1.1
network-manager-applet 1.36.0-2.1
networkmanager 1.58.0-1
networkmanager-openvpn 1.12.5-1.1
networkmanager-vpn-plugin-openvpn 1.12.5-1.1
nfs-utils 2.9.2-1.1
nfsidmap 2.9.2-1.1
nftables 1:1.1.6-3
nilfs-utils 2.3.0-1.1
nm-connection-editor 1.36.0-2.1
noctalia 5.0.0_beta.7-1
noctalia-qs 0.0.12-1.1
noctalia-shell 4.7.7-3
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1.1
nspr 4.39-1.1
nss 3.126-1.1
nss-mdns 0.15.1-2.1
ntsync-autoload 1-1
nvidia-prime 1.0-6
nvidia-settings 610.43.03-1
nvidia-utils 610.57.04-1
nwg-look 1.1.1-3.1
ocl-icd 2.3.5-1.1
oh-my-zsh-git r7823.b37dd49ca-1
onetbb 2023.1.0-1.1
oniguruma 6.9.10-1.1
openal 1.25.2-1.1
